                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0967,                 1.5687,                0.69379,                0.92894,                0.51349,                0.37005,                 0.3774,                 0.2546,                0.50725,                0.36004,                0.36307,                0.22023,                 1.2496,                 2.0383,                 1.0889,                  1.065,               0.005446,               0.005446,               0.005446
                     26,                 1.0922,                 1.5571,                0.68835,                0.92766,                 0.5244,                0.35804,                0.37516,                0.25421,                0.52648,                0.34553,                 0.3612,                0.21921,                 1.2518,                 2.0386,                 1.1099,                 1.0669,               0.005248,               0.005248,               0.005248
                     27,                 1.0927,                 1.5613,                0.68748,                0.92733,                0.50942,                0.37082,                0.37522,                 0.2546,                0.51098,                0.35276,                0.36152,                0.21912,                 1.2509,                 2.0344,                 1.1031,                 1.0659,                0.00505,                0.00505,                0.00505
                     28,                 1.0896,                 1.5554,                0.68572,                 0.9266,                0.49783,                0.37411,                0.37581,                0.25581,                 0.4906,                0.36303,                0.36173,                0.22072,                 1.2484,                 2.0342,                 1.0995,                 1.0644,               0.004852,               0.004852,               0.004852
                     29,                 1.0856,                  1.545,                 0.6798,                 0.9251,                0.48605,                0.37368,                 0.3775,                0.25523,                0.49317,                0.36264,                0.36143,                 0.2198,                 1.2467,                 2.0316,                 1.0956,                  1.063,               0.004654,               0.004654,               0.004654
                     30,                 1.0837,                 1.5467,                0.67863,                0.92381,                0.49123,                0.37275,                 0.3779,                0.25598,                0.48844,                0.35818,                0.36221,                0.22038,                 1.2454,                 2.0303,                 1.0954,                 1.0621,               0.004456,               0.004456,               0.004456
                     31,                 1.0807,                 1.5413,                0.67795,                0.92373,                0.49011,                0.37687,                0.37814,                 0.2557,                0.48399,                0.36479,                0.36338,                0.22038,                 1.2448,                  2.028,                 1.0979,                 1.0616,               0.004258,               0.004258,               0.004258
                     32,                   1.08,                 1.5396,                0.67311,                0.92318,                0.49196,                0.37815,                0.37871,                0.25613,                 0.4833,                  0.367,                0.36337,                0.22084,                 1.2441,                 2.0265,                 1.0961,                 1.0613,                0.00406,                0.00406,                0.00406
                     33,                 1.0758,                 1.5347,                0.67142,                0.92162,                0.49117,                0.37832,                0.37803,                0.25609,                 0.4815,                0.36919,                0.36414,                0.22064,                 1.2432,                 2.0251,                 1.0966,                 1.0605,               0.003862,               0.003862,               0.003862
                     34,                  1.077,                 1.5304,                0.66843,                0.92083,                0.49961,                0.37275,                0.37764,                0.25593,                0.49011,                0.36234,                0.36375,                0.22055,                 1.2432,                 2.0244,                 1.0972,                 1.0603,               0.003664,               0.003664,               0.003664
                     35,                 1.0719,                 1.5217,                0.66452,                 0.9201,                0.49799,                0.37506,                0.37814,                0.25545,                 0.4928,                0.36112,                0.36357,                 0.2205,                 1.2425,                 2.0232,                 1.1019,                 1.0597,               0.003466,               0.003466,               0.003466
                     36,                 1.0718,                 1.5266,                0.66582,                0.92086,                0.50196,                0.37477,                0.37767,                0.25562,                0.49742,                0.36269,                0.36413,                0.22026,                 1.2418,                 2.0223,                 1.1025,                 1.0593,               0.003268,               0.003268,               0.003268
                     37,                 1.0685,                 1.5176,                 0.6604,                0.91789,                0.50701,                0.37147,                 0.3786,                0.25588,                0.49561,                0.36141,                0.36553,                0.22076,                 1.2412,                 2.0217,                 1.1045,                 1.0588,                0.00307,                0.00307,                0.00307
                     38,                 1.0667,                 1.5154,                0.65819,                0.91743,                0.50841,                0.37156,                0.37909,                0.25614,                0.49966,                0.36164,                0.36586,                0.22135,                 1.2407,                 2.0211,                 1.1061,                 1.0582,               0.002872,               0.002872,               0.002872
                     39,                 1.0641,                 1.5131,                 0.6552,                 0.9176,                0.50555,                0.37136,                0.37885,                 0.2562,                0.49667,                0.36275,                0.36625,                0.22133,                 1.2402,                  2.021,                 1.1071,                 1.0578,               0.002674,               0.002674,               0.002674
                     40,                 1.0598,                 1.5052,                0.65144,                 0.9161,                0.51033,                0.36988,                0.37889,                0.25611,                0.49865,                 0.3619,                0.36585,                0.22121,                 1.2401,                 2.0213,                 1.1081,                 1.0575,               0.002476,               0.002476,               0.002476
                     41,                 1.0882,                  1.529,                0.66952,                0.92472,                0.52995,                 0.3682,                0.38321,                0.25889,                0.51072,                0.36179,                0.36906,                0.22323,                 1.2389,                 2.0177,                  1.098,                 1.0563,               0.002278,               0.002278,               0.002278
                     42,                 1.0781,                 1.5058,                0.65592,                0.92054,                0.53532,                 0.3725,                0.38629,                0.26129,                0.52048,                0.36236,                0.37189,                0.22548,                 1.2375,                 2.0149,                 1.0911,                 1.0552,                0.00208,                0.00208,                0.00208
                     43,                 1.0745,                 1.5039,                0.65053,                0.91917,                0.53903,                0.37318,                0.38982,                0.26406,                 0.5245,                0.36461,                0.37558,                0.22712,                 1.2369,                 2.0124,                 1.0856,                 1.0546,               0.001882,               0.001882,               0.001882
                     44,                 1.0689,                 1.4922,                0.64666,                0.91727,                0.53003,                0.38584,                0.39283,                0.26638,                0.51281,                0.37602,                0.37737,                0.22913,                 1.2361,                 2.0105,                 1.0818,                 1.0538,               0.001684,               0.001684,               0.001684
                     45,                 1.0639,                 1.4818,                 0.6395,                0.91528,                0.52895,                0.38721,                0.39499,                0.26821,                0.51605,                 0.3769,                0.37896,                0.22968,                 1.2357,                 2.0092,                 1.0791,                 1.0533,               0.001486,               0.001486,               0.001486
                     46,                 1.0597,                 1.4754,                0.63434,                0.91397,                0.52853,                0.38766,                0.39486,                0.26823,                0.51849,                0.37655,                0.37967,                0.23013,                 1.2357,                 2.0084,                 1.0782,                 1.0529,               0.001288,               0.001288,               0.001288
                     47,                 1.0531,                 1.4653,                 0.6284,                0.91205,                0.52973,                0.38682,                0.39433,                  0.268,                0.51763,                0.37633,                 0.3804,                0.23019,                 1.2359,                 2.0082,                 1.0776,                 1.0528,                0.00109,                0.00109,                0.00109
                     48,                 1.0513,                 1.4646,                0.62457,                0.91077,                0.52989,                0.38578,                0.39482,                0.26775,                0.51637,                0.37375,                0.37887,                 0.2297,                 1.2362,                 2.0088,                 1.0777,                 1.0527,               0.000892,               0.000892,               0.000892
                     49,                 1.0483,                 1.4536,                0.61955,                0.90976,                0.52629,                0.38716,                0.39393,                0.26657,                0.51304,                0.37344,                0.37768,                0.22905,                 1.2368,                 2.0089,                 1.0796,                 1.0527,               0.000694,               0.000694,               0.000694
                     50,                 1.0426,                  1.446,                0.61442,                0.90749,                0.52097,                0.38987,                 0.3935,                 0.2665,                 0.5073,                0.37647,                0.37638,                0.22889,                 1.2376,                 2.0104,                 1.0819,                 1.0529,               0.000496,               0.000496,               0.000496
