                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0743,                 1.6189,                0.71078,                0.95785,                  0.509,                0.39833,                0.40444,                0.27308,                0.53644,                0.36442,                0.38504,                0.23928,                  1.019,                 1.3408,                0.65324,                0.87017,               0.005248,               0.005248,               0.005248
                     26,                 1.0695,                 1.6155,                0.70865,                 0.9575,                0.52924,                0.39034,                0.40526,                0.27308,                0.53469,                0.36443,                0.38561,                 0.2394,                 1.0184,                 1.3392,                0.65257,                0.86999,                0.00505,                0.00505,                0.00505
                     27,                 1.0677,                 1.6119,                0.70636,                0.95627,                 0.5298,                0.39065,                0.40576,                0.27413,                0.55688,                0.35773,                0.38658,                0.24017,                 1.0177,                 1.3383,                0.65171,                0.86978,               0.004852,               0.004852,               0.004852
                     28,                 1.0678,                 1.6066,                0.70285,                0.95473,                0.55022,                 0.3822,                0.40574,                0.27492,                0.54751,                0.36312,                0.38725,                 0.2407,                 1.0172,                 1.3376,                0.65103,                0.86964,               0.004654,               0.004654,               0.004654
                     29,                 1.0625,                 1.6033,                0.69933,                0.95416,                0.54362,                0.38545,                0.40674,                0.27552,                0.54769,                0.36476,                0.38781,                0.24068,                 1.0166,                 1.3368,                0.65012,                0.86942,               0.004456,               0.004456,               0.004456
                     30,                  1.061,                 1.5992,                0.69803,                0.95287,                0.55532,                   0.38,                0.40658,                0.27535,                0.55776,                0.36256,                0.38886,                0.24086,                 1.0162,                  1.336,                0.64945,                0.86929,               0.004258,               0.004258,               0.004258
                     31,                 1.0587,                 1.5935,                0.69458,                 0.9523,                0.54878,                0.38213,                0.40689,                0.27532,                0.55671,                0.36454,                0.38884,                0.24068,                 1.0158,                 1.3356,                0.64862,                0.86915,                0.00406,                0.00406,                0.00406
                     32,                  1.058,                 1.5969,                0.69463,                0.95132,                0.54096,                0.38401,                0.40718,                0.27549,                0.56098,                0.36059,                0.38905,                0.24093,                 1.0155,                 1.3349,                0.64781,                0.86901,               0.003862,               0.003862,               0.003862
                     33,                 1.0539,                 1.5811,                0.69083,                0.94911,                0.52551,                0.39125,                0.40717,                0.27566,                0.56628,                0.35947,                0.38925,                0.24087,                 1.0149,                 1.3343,                 0.6471,                0.86877,               0.003664,               0.003664,               0.003664
                     34,                 1.0498,                 1.5799,                0.68697,                0.94919,                 0.5303,                0.39121,                0.40762,                0.27549,                0.55319,                0.36283,                0.38934,                  0.241,                 1.0146,                 1.3335,                0.64631,                0.86862,               0.003466,               0.003466,               0.003466
                     35,                  1.049,                 1.5795,                0.68367,                0.94797,                0.53092,                0.39058,                0.40786,                0.27615,                0.54698,                0.36506,                 0.3901,                0.24185,                 1.0142,                 1.3325,                0.64542,                0.86842,               0.003268,               0.003268,               0.003268
                     36,                 1.0458,                 1.5758,                0.68218,                0.94698,                0.52141,                0.39505,                0.40827,                0.27703,                0.56709,                0.35973,                0.39062,                0.24254,                 1.0137,                 1.3321,                0.64518,                0.86827,                0.00307,                0.00307,                0.00307
                     37,                 1.0428,                 1.5702,                0.67866,                 0.9461,                0.52258,                0.39347,                0.40861,                0.27764,                0.55032,                0.36495,                0.39138,                0.24307,                 1.0134,                 1.3316,                0.64443,                0.86811,               0.002872,               0.002872,               0.002872
                     38,                 1.0423,                   1.57,                0.67761,                 0.9447,                0.52844,                0.38726,                0.40881,                0.27778,                0.55646,                0.36476,                0.39175,                0.24328,                 1.0129,                 1.3312,                0.64387,                0.86793,               0.002674,               0.002674,               0.002674
                     39,                 1.0394,                 1.5635,                0.67422,                0.94371,                0.53089,                0.38614,                0.40972,                0.27851,                0.54998,                0.36622,                0.39264,                0.24356,                 1.0125,                 1.3307,                0.64315,                0.86772,               0.002476,               0.002476,               0.002476
                     40,                 1.0361,                  1.556,                0.67054,                0.94287,                0.52657,                0.38923,                0.41003,                0.27917,                0.54122,                 0.3714,                0.39346,                0.24424,                 1.0122,                 1.3298,                0.64239,                0.86764,               0.002278,               0.002278,               0.002278
                     41,                 1.0624,                 1.5807,                0.69092,                0.94841,                0.52604,                0.39357,                0.41282,                0.28124,                0.53486,                  0.378,                0.39697,                0.24666,                 1.0122,                  1.327,                0.64293,                0.86753,                0.00208,                0.00208,                0.00208
                     42,                 1.0507,                 1.5561,                0.67699,                0.94498,                0.54184,                 0.3931,                0.41597,                 0.2824,                0.53767,                0.37876,                 0.3995,                0.24775,                 1.0124,                 1.3244,                0.64308,                0.86752,               0.001882,               0.001882,               0.001882
                     43,                 1.0455,                 1.5478,                0.67005,                0.94221,                0.54687,                0.39519,                 0.4163,                0.28313,                0.54256,                0.38041,                0.39969,                0.24819,                 1.0124,                 1.3224,                0.64314,                0.86751,               0.001684,               0.001684,               0.001684
                     44,                  1.041,                 1.5377,                0.66516,                 0.9403,                0.55215,                0.39527,                0.41707,                0.28399,                0.54048,                0.38259,                0.40015,                0.24833,                 1.0126,                 1.3208,                0.64346,                0.86757,               0.001486,               0.001486,               0.001486
                     45,                 1.0367,                 1.5297,                0.65955,                0.93891,                0.54523,                0.39491,                0.41695,                 0.2842,                0.52862,                0.38478,                0.39981,                 0.2489,                 1.0128,                   1.32,                0.64349,                 0.8676,               0.001288,               0.001288,               0.001288
                     46,                 1.0327,                 1.5246,                0.65468,                  0.937,                0.53979,                0.39823,                0.41553,                 0.2839,                0.53047,                0.38489,                0.40008,                0.24826,                  1.013,                 1.3188,                0.64359,                0.86768,                0.00109,                0.00109,                0.00109
                     47,                 1.0281,                 1.5117,                0.64999,                 0.9354,                  0.542,                0.39768,                0.41438,                0.28343,                0.52811,                0.38769,                0.39918,                0.24724,                 1.0132,                 1.3184,                 0.6438,                0.86773,               0.000892,               0.000892,               0.000892
                     48,                 1.0248,                 1.5069,                0.64474,                0.93423,                0.54528,                0.39135,                0.41344,                0.28331,                0.53388,                0.38172,                0.39835,                0.24717,                 1.0134,                 1.3176,                0.64369,                0.86783,               0.000694,               0.000694,               0.000694
                     49,                 1.0202,                 1.4977,                0.63903,                0.93232,                0.56069,                0.38574,                0.41327,                0.28365,                0.56129,                0.37151,                0.39852,                0.24735,                 1.0136,                  1.317,                0.64375,                0.86786,               0.000496,               0.000496,               0.000496
                     50,                 1.0175,                 1.4955,                0.63527,                0.93073,                0.57466,                0.37899,                0.41176,                0.28261,                0.56322,                0.37018,                0.39735,                 0.2463,                 1.0136,                 1.3165,                0.64385,                0.86788,               0.000298,               0.000298,               0.000298
