                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1973,                 1.8153,                 1.0916,                0.99632,                0.82726,                0.82753,                0.87017,                0.60574,                0.82558,                0.82269,                0.86746,                0.56108,                 1.0875,                 1.3903,                0.68117,                0.86221,               0.003332,               0.003332,               0.003332
                      2,                 1.1614,                 1.7081,                0.76564,                0.97628,                0.86591,                0.83959,                0.88635,                0.61647,                0.86224,                0.84066,                0.88992,                0.59087,                 1.1035,                 1.3878,                0.67648,                0.87383,              0.0065993,              0.0065993,              0.0065993
                      3,                  1.197,                  1.744,                0.77425,                 0.9932,                0.86714,                0.82526,                0.87622,                0.59231,                0.86311,                 0.8236,                0.87951,                0.55955,                 1.1391,                 1.4586,                 0.7215,                0.89238,              0.0098007,              0.0098007,              0.0098007
                      4,                 1.2087,                 1.7538,                0.77054,                 1.0004,                0.87403,                0.83645,                0.89268,                0.61597,                0.87318,                0.83562,                0.89719,                0.58469,                 1.0983,                 1.3676,                0.68081,                0.87679,               0.009703,               0.009703,               0.009703
                      5,                 1.1597,                 1.6656,                0.72806,                0.98572,                0.87036,                0.85318,                0.90787,                0.63714,                0.87169,                 0.8413,                0.90621,                0.60375,                 1.0658,                 1.3245,                0.64993,                0.86622,               0.009604,               0.009604,               0.009604
                      6,                 1.1352,                 1.6133,                0.70624,                0.97636,                0.86481,                0.87441,                0.91453,                0.64977,                0.86201,                0.86549,                0.91362,                0.60284,                 1.0466,                 1.3015,                 0.6286,                0.86052,               0.009505,               0.009505,               0.009505
                      7,                 1.1108,                 1.5802,                0.68823,                0.96783,                0.88228,                0.86653,                0.91725,                0.65407,                0.87982,                0.85831,                0.91693,                0.60791,                 1.0366,                 1.2584,                0.61089,                0.85553,               0.009406,               0.009406,               0.009406
                      8,                 1.0968,                 1.5534,                0.67678,                0.96365,                0.88687,                0.87296,                0.92012,                0.65854,                0.88069,                0.86591,                0.91822,                0.61448,                 1.0231,                 1.2385,                0.60095,                0.85118,               0.009307,               0.009307,               0.009307
                      9,                 1.0891,                 1.5332,                0.66876,                0.96019,                0.88524,                0.87386,                0.92172,                0.66102,                0.88163,                0.86425,                0.91991,                0.62227,                 1.0157,                 1.2195,                0.59439,                0.84912,               0.009208,               0.009208,               0.009208
                     10,                 1.0775,                 1.5164,                0.65868,                0.95654,                0.87797,                0.88519,                0.92232,                0.66956,                0.87922,                0.87062,                0.92155,                0.62916,                  1.008,                 1.2088,                0.58771,                  0.846,               0.009109,               0.009109,               0.009109
                     11,                 1.0733,                 1.5041,                0.65495,                0.95288,                0.88344,                0.88613,                0.92435,                0.66935,                0.87842,                0.87919,                0.92467,                0.62647,                  1.003,                 1.2007,                 0.5819,                0.84462,                0.00901,                0.00901,                0.00901
                     12,                 1.0621,                 1.4921,                0.64719,                 0.9502,                 0.8834,                0.88504,                0.92616,                0.67582,                0.88187,                0.87325,                0.92617,                0.62982,                0.99557,                 1.1892,                0.57604,                0.84212,               0.008911,               0.008911,               0.008911
                     13,                 1.0618,                  1.485,                0.64529,                0.94951,                0.88301,                 0.8887,                0.92667,                0.67595,                0.87837,                0.87739,                0.92581,                0.63149,                0.99291,                  1.188,                 0.5736,                0.84043,               0.008812,               0.008812,               0.008812
                     14,                 1.0548,                 1.4763,                0.64067,                0.94769,                0.89011,                0.88617,                 0.9279,                0.68016,                0.88364,                0.87301,                0.92473,                0.62968,                0.98879,                  1.181,                 0.5699,                 0.8395,               0.008713,               0.008713,               0.008713
                     15,                 1.0469,                 1.4638,                0.63482,                0.94524,                0.88969,                0.88664,                0.92982,                0.68195,                0.88484,                0.87517,                0.92604,                0.63459,                0.98444,                 1.1733,                0.56683,                 0.8385,               0.008614,               0.008614,               0.008614
                     16,                 1.0453,                 1.4559,                0.63228,                0.94401,                0.89122,                0.88913,                0.93044,                0.68187,                0.88376,                0.88088,                0.92757,                0.63673,                0.98132,                 1.1664,                0.56361,                0.83771,               0.008515,               0.008515,               0.008515
