                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1417,                 1.7169,                  1.015,                  1.018,                0.52672,                0.39619,                0.39065,                0.25874,                0.50712,                 0.3838,                0.37282,                0.22213,                 1.0888,                 1.4044,                0.75597,                0.91063,              0.0033331,              0.0033331,              0.0033331
                      2,                 1.1767,                 1.7531,                0.89057,                 1.0399,                 0.4459,                0.35297,                0.34222,                0.22321,                0.44095,                0.33777,                  0.326,                0.19356,                 1.0698,                 1.3794,                0.75591,                 0.9125,              0.0065345,              0.0065345,              0.0065345
                      3,                 1.1914,                 1.7733,                 0.8969,                 1.0581,                0.46263,                0.33116,                0.30845,                0.20293,                0.46817,                0.32209,                0.29646,                0.17666,                 1.0556,                 1.3878,                0.74148,                0.91408,              0.0096038,              0.0096038,              0.0096038
                      4,                 1.1743,                 1.7461,                0.86682,                  1.059,                0.48317,                0.34544,                0.33678,                 0.2229,                0.48454,                0.33561,                0.32724,                0.19556,                 1.0436,                 1.3491,                0.70686,                0.90839,               0.009406,               0.009406,               0.009406
                      5,                 1.1342,                  1.674,                0.80952,                 1.0408,                0.45852,                0.38177,                 0.3528,                0.22929,                0.44812,                0.36739,                0.33769,                0.20155,                  1.029,                 1.3155,                0.68056,                 0.9001,               0.009208,               0.009208,               0.009208
                      6,                 1.1085,                 1.6295,                0.78148,                 1.0294,                0.59857,                0.38416,                0.39854,                0.26516,                0.57324,                0.37616,                0.37787,                0.23034,                  1.017,                 1.2995,                0.66501,                0.89684,                0.00901,                0.00901,                0.00901
                      7,                 1.0954,                 1.6072,                0.76174,                 1.0207,                 0.5647,                0.41024,                0.42148,                0.28722,                0.56182,                0.39434,                0.40511,                0.24695,                 1.0098,                 1.2888,                0.65154,                0.89069,               0.008812,               0.008812,               0.008812
                      8,                 1.0815,                 1.5796,                0.74627,                 1.0143,                 0.5198,                0.42708,                0.42712,                0.29115,                0.50289,                0.41312,                0.40572,                0.24996,                 1.0037,                 1.2738,                0.64376,                0.88861,               0.008614,               0.008614,               0.008614
                      9,                 1.0715,                 1.5622,                0.73421,                 1.0093,                0.52805,                0.43208,                0.43349,                0.29728,                0.52456,                0.41376,                0.41504,                0.25609,                 0.9965,                 1.2664,                0.63409,                0.88565,               0.008416,               0.008416,               0.008416
                     10,                 1.0624,                 1.5493,                0.72154,                 1.0051,                0.56041,                0.43232,                0.43782,                0.29962,                0.54922,                0.42097,                0.42013,                0.25846,                 0.9937,                 1.2578,                0.63089,                 0.8846,               0.008218,               0.008218,               0.008218
                     11,                 1.0534,                  1.537,                0.71298,                 1.0005,                0.57728,                0.43262,                 0.4447,                0.30473,                0.56316,                  0.421,                0.42583,                0.26134,                0.99092,                 1.2521,                0.62669,                0.88255,                0.00802,                0.00802,                0.00802
                     12,                 1.0502,                 1.5197,                 0.7096,                0.99868,                0.58646,                0.44038,                0.45623,                0.31227,                0.57758,                0.41985,                0.43435,                0.26802,                0.98742,                 1.2504,                0.62131,                0.88117,               0.007822,               0.007822,               0.007822
                     13,                 1.0438,                  1.513,                0.70057,                0.99402,                0.56744,                0.44465,                0.46052,                0.31661,                0.57209,                0.42823,                0.44184,                0.27183,                0.98477,                  1.247,                  0.618,                0.87993,               0.007624,               0.007624,               0.007624
                     14,                 1.0386,                 1.5018,                0.69476,                0.99217,                0.56461,                0.44977,                0.46469,                0.32095,                0.55755,                0.43315,                0.44555,                 0.2759,                0.98269,                 1.2428,                0.61534,                0.87899,               0.007426,               0.007426,               0.007426
                     15,                 1.0344,                 1.4936,                0.69011,                0.99278,                0.57829,                0.44635,                0.46786,                0.32512,                0.56768,                0.43454,                0.45047,                0.28005,                0.98061,                  1.239,                0.61279,                0.87802,               0.007228,               0.007228,               0.007228
                     16,                 1.0312,                  1.488,                  0.684,                0.98884,                0.57082,                0.45335,                0.46867,                 0.3272,                0.57049,                0.43672,                0.45216,                0.28063,                0.97897,                 1.2364,                0.61051,                0.87718,                0.00703,                0.00703,                0.00703
                     17,                 1.0253,                 1.4799,                0.67865,                0.98709,                0.58234,                0.45419,                0.47229,                0.32986,                0.59256,                 0.4352,                0.45443,                0.28268,                0.97726,                 1.2336,                0.60846,                0.87655,               0.006832,               0.006832,               0.006832
                     18,                  1.021,                 1.4746,                 0.6731,                0.98457,                0.59496,                0.45251,                0.47598,                0.33217,                0.60212,                0.43267,                0.45769,                0.28487,                 0.9762,                  1.232,                0.60658,                0.87591,               0.006634,               0.006634,               0.006634
                     19,                 1.0189,                 1.4667,                0.67307,                0.98341,                 0.5837,                0.45838,                0.47751,                0.33312,                0.60301,                0.43087,                0.45989,                0.28652,                0.97525,                 1.2301,                0.60513,                0.87543,               0.006436,               0.006436,               0.006436
                     20,                 1.0167,                 1.4644,                0.66867,                0.98223,                0.58611,                0.46083,                 0.4805,                0.33479,                0.58579,                0.44382,                 0.4624,                0.28675,                0.97414,                 1.2284,                0.60387,                0.87508,               0.006238,               0.006238,               0.006238
                     21,                 1.0115,                 1.4511,                0.66104,                0.97894,                0.58922,                0.46292,                0.48134,                 0.3351,                0.59953,                0.43839,                0.46312,                0.28766,                0.97348,                 1.2272,                0.60235,                 0.8746,                0.00604,                0.00604,                0.00604
                     22,                 1.0072,                 1.4464,                0.66129,                0.97918,                0.60544,                0.45443,                0.48363,                0.33668,                0.61119,                0.43833,                0.46588,                0.28909,                0.97258,                 1.2257,                0.60105,                 0.8742,               0.005842,               0.005842,               0.005842
