                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0675,                 1.6087,                0.70855,                0.95657,                0.57573,                0.38745,                0.41443,                0.28487,                0.56124,                0.37336,                0.39748,                0.24647,                 1.0072,                 1.3174,                0.64627,                0.87529,               0.005446,               0.005446,               0.005446
                     26,                  1.066,                 1.6112,                0.70426,                0.95538,                0.56169,                0.38606,                0.41476,                0.28554,                 0.5641,                0.36788,                0.39832,                0.24673,                 1.0052,                  1.318,                0.64596,                0.87486,               0.005248,               0.005248,               0.005248
                     27,                 1.0633,                 1.6037,                0.70185,                0.95451,                0.57604,                0.37832,                0.41483,                 0.2868,                 0.5778,                0.36716,                0.39954,                0.24696,                 1.0037,                 1.3154,                0.64367,                0.87404,                0.00505,                0.00505,                0.00505
                     28,                 1.0614,                 1.6023,                0.70076,                0.95312,                0.58226,                0.38163,                0.41677,                0.28755,                  0.581,                0.37105,                0.40041,                0.24722,                 1.0029,                  1.314,                0.64298,                0.87307,               0.004852,               0.004852,               0.004852
                     29,                 1.0592,                 1.5977,                 0.6974,                0.95317,                0.57986,                0.38759,                0.41927,                0.28943,                 0.5877,                0.37287,                0.40282,                0.24942,                  1.002,                 1.3123,                0.64113,                0.87253,               0.004654,               0.004654,               0.004654
                     30,                 1.0597,                 1.5942,                0.69467,                0.95173,                0.56419,                0.39844,                0.42103,                0.29089,                0.58918,                0.37337,                0.40303,                0.25097,                 1.0014,                  1.312,                0.64003,                0.87225,               0.004456,               0.004456,               0.004456
                     31,                 1.0531,                 1.5914,                0.69024,                0.95015,                 0.5884,                0.38733,                0.42082,                0.29153,                0.56704,                0.37581,                0.40256,                0.25146,                 1.0008,                 1.3113,                0.63892,                0.87169,               0.004258,               0.004258,               0.004258
                     32,                  1.053,                   1.59,                0.69045,                0.94982,                0.58888,                0.39201,                 0.4229,                0.29183,                0.56965,                 0.3792,                0.40479,                0.25274,                0.99989,                 1.3088,                0.63812,                0.87129,                0.00406,                0.00406,                0.00406
                     33,                 1.0531,                 1.5881,                0.68906,                 0.9494,                0.58467,                0.39034,                 0.4236,                0.29268,                0.60532,                0.36979,                0.40759,                 0.2532,                0.99901,                 1.3071,                0.63665,                0.87109,               0.003862,               0.003862,               0.003862
                     34,                 1.0451,                 1.5766,                0.68356,                 0.9481,                0.59386,                0.39123,                0.42365,                0.29344,                0.59565,                0.37509,                0.40776,                0.25311,                0.99822,                 1.3056,                0.63566,                0.87074,               0.003664,               0.003664,               0.003664
                     35,                 1.0447,                 1.5737,                0.68172,                0.94656,                  0.603,                0.38769,                0.42389,                0.29317,                0.59763,                0.37336,                0.40704,                0.25334,                0.99773,                 1.3049,                0.63525,                0.87052,               0.003466,               0.003466,               0.003466
                     36,                  1.041,                 1.5699,                0.67998,                0.94572,                0.59462,                0.39045,                0.42396,                0.29272,                0.59197,                0.37407,                0.40698,                0.25309,                0.99678,                  1.304,                0.63463,                 0.8698,               0.003268,               0.003268,               0.003268
