                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5294,                 2.4302,                 1.6391,                 1.2282,                0.73041,                0.63941,                0.68493,                0.42075,                0.73479,                0.64273,                0.69217,                0.41588,                 1.3178,                 1.7867,                0.99697,                 1.0093,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.4608,                 2.2313,                 1.1091,                 1.1677,                0.75099,                0.70043,                0.75799,                  0.468,                0.74593,                0.70437,                0.76217,                0.44177,                 1.3091,                 1.7751,                0.95249,                0.99511,              0.0065308,              0.0065308,              0.0065308
                      3,                 1.4745,                 2.2281,                  1.071,                  1.168,                0.75037,                0.69761,                0.76339,                0.46795,                0.73855,                0.71151,                0.76747,                0.45744,                 1.3223,                  1.803,                0.97879,                 1.0029,              0.0096003,              0.0096003,              0.0096003
                      4,                 1.4633,                 2.1946,                 1.0372,                 1.1659,                0.77276,                0.73613,                0.79726,                0.49838,                0.78022,                0.73492,                0.80552,                0.48351,                 1.2865,                 1.6892,                 0.8779,                0.97915,               0.009406,               0.009406,               0.009406
                      5,                 1.4373,                 2.1407,                 1.0003,                 1.1489,                0.79886,                0.75388,                0.82087,                0.51193,                0.79592,                0.74766,                0.81927,                0.48975,                 1.2698,                 1.6625,                0.86421,                0.97297,               0.009208,               0.009208,               0.009208
                      6,                 1.4199,                  2.113,                0.98057,                 1.1393,                0.80234,                0.76843,                0.81672,                0.51234,                0.80178,                0.77514,                0.82767,                0.51207,                   1.27,                 1.6274,                0.84284,                0.96778,                0.00901,                0.00901,                0.00901
                      7,                 1.4136,                 2.0925,                0.96453,                  1.131,                 0.7959,                0.77633,                0.82945,                0.53006,                0.79705,                0.77718,                0.83714,                0.51554,                 1.2503,                 1.6022,                0.84511,                0.96246,               0.008812,               0.008812,               0.008812
                      8,                 1.4045,                 2.0782,                0.95776,                 1.1266,                0.81547,                0.79072,                0.84249,                0.53313,                0.81255,                 0.7956,                0.85151,                0.52084,                 1.2458,                  1.595,                0.81798,                 0.9587,               0.008614,               0.008614,               0.008614
                      9,                 1.3981,                   2.06,                0.94945,                 1.1214,                0.81851,                0.78601,                0.84538,                0.53396,                0.82025,                0.78496,                0.85354,                0.52133,                 1.2368,                 1.5932,                0.80909,                 0.9531,               0.008416,               0.008416,               0.008416
                     10,                 1.3903,                 2.0489,                0.94223,                  1.117,                0.81819,                0.79933,                 0.8481,                0.54439,                0.81695,                0.80035,                0.85573,                0.53208,                 1.2371,                 1.5793,                0.80437,                0.95224,               0.008218,               0.008218,               0.008218
                     11,                 1.3865,                 2.0469,                0.93698,                 1.1144,                0.81164,                0.80378,                0.85082,                0.54328,                0.80808,                0.80891,                0.85892,                0.53412,                 1.2288,                 1.5715,                0.79911,                 0.9486,                0.00802,                0.00802,                0.00802
                     12,                 1.3816,                 2.0353,                0.93078,                 1.1093,                0.82453,                0.79944,                0.85277,                0.54731,                0.82391,                0.80441,                0.86258,                0.53338,                 1.2221,                 1.5658,                0.79582,                0.94531,               0.007822,               0.007822,               0.007822
                     13,                 1.3772,                 2.0306,                0.92825,                  1.109,                0.82559,                0.80539,                0.85777,                0.55026,                0.82894,                0.80329,                0.86498,                0.53733,                 1.2216,                 1.5593,                0.79042,                0.94445,               0.007624,               0.007624,               0.007624
                     14,                 1.3745,                 2.0263,                0.92327,                 1.1057,                0.82139,                0.81153,                0.85763,                0.55056,                0.82267,                0.81275,                0.86672,                0.53685,                 1.2177,                 1.5515,                0.78864,                0.94288,               0.007426,               0.007426,               0.007426
                     15,                 1.3703,                 2.0193,                0.91822,                 1.1021,                0.82697,                0.80572,                0.86158,                0.55409,                0.82785,                0.80426,                0.86724,                0.54133,                 1.2152,                 1.5489,                0.78612,                0.94091,               0.007228,               0.007228,               0.007228
                     16,                 1.3678,                 2.0168,                0.91817,                 1.1015,                0.83127,                0.80239,                 0.8605,                0.55463,                0.83157,                0.80254,                0.86741,                0.54191,                 1.2133,                 1.5462,                 0.7833,                0.93969,                0.00703,                0.00703,                0.00703
                     17,                 1.3681,                 2.0097,                0.91398,                 1.0976,                0.82765,                 0.8079,                0.86026,                0.55311,                 0.8313,                0.80772,                 0.8698,                0.54241,                 1.2132,                 1.5432,                0.78176,                0.93872,               0.006832,               0.006832,               0.006832
                     18,                 1.3662,                 2.0095,                0.91081,                 1.0983,                 0.8354,                0.80394,                 0.8613,                 0.5553,                0.83961,                0.80105,                0.86984,                0.54232,                 1.2116,                 1.5401,                0.77972,                0.93789,               0.006634,               0.006634,               0.006634
                     19,                 1.3633,                 1.9999,                0.90879,                 1.0961,                0.82652,                0.80773,                0.86159,                0.55543,                0.82971,                0.80564,                0.86935,                 0.5426,                 1.2101,                 1.5376,                0.77861,                0.93704,               0.006436,               0.006436,               0.006436
                     20,                 1.3604,                 2.0025,                0.90648,                 1.0945,                0.82235,                0.81262,                0.86076,                0.55619,                0.82803,                0.80858,                0.86979,                0.54366,                 1.2086,                  1.536,                0.77756,                0.93636,               0.006238,               0.006238,               0.006238
                     21,                 1.3586,                 1.9986,                0.90426,                 1.0928,                0.82699,                0.81065,                0.86208,                0.55748,                0.82732,                0.81081,                0.87034,                0.54535,                 1.2082,                 1.5346,                0.77671,                0.93596,                0.00604,                0.00604,                0.00604
                     22,                 1.3543,                 1.9943,                0.90167,                 1.0916,                0.82439,                 0.8094,                  0.862,                0.55771,                0.82743,                0.81013,                0.87091,                0.54631,                 1.2075,                  1.534,                0.77557,                0.93556,               0.005842,               0.005842,               0.005842
                     23,                  1.353,                 1.9915,                0.89941,                 1.0895,                0.82649,                0.81139,                 0.8628,                0.55831,                0.82879,                0.81146,                0.87172,                 0.5473,                 1.2068,                 1.5328,                0.77514,                 0.9351,               0.005644,               0.005644,               0.005644
                     24,                 1.3512,                  1.983,                0.89912,                 1.0893,                0.82634,                  0.811,                0.86281,                0.55861,                0.82807,                0.81266,                0.87237,                0.54811,                 1.2063,                 1.5319,                0.77456,                0.93477,               0.005446,               0.005446,               0.005446
                     25,                  1.348,                 1.9848,                0.89679,                 1.0866,                 0.8237,                0.81641,                0.86408,                0.55964,                0.82821,                0.81599,                0.87287,                0.54757,                 1.2057,                 1.5309,                0.77401,                0.93444,               0.005248,               0.005248,               0.005248
                     26,                 1.3486,                  1.977,                0.89355,                 1.0847,                0.82588,                0.81377,                0.86354,                0.55946,                0.82949,                0.81328,                0.87325,                0.54718,                 1.2053,                 1.5302,                0.77348,                0.93416,                0.00505,                0.00505,                0.00505
                     27,                 1.3461,                  1.977,                0.89059,                 1.0839,                0.82785,                0.81488,                0.86487,                0.55945,                0.82763,                0.81663,                0.87398,                 0.5479,                 1.2048,                 1.5293,                0.77305,                0.93391,               0.004852,               0.004852,               0.004852
                     28,                 1.3414,                 1.9737,                0.89016,                 1.0842,                0.82323,                0.81671,                0.86494,                0.56003,                0.82311,                0.81853,                0.87343,                0.54823,                 1.2045,                 1.5282,                0.77245,                0.93366,               0.004654,               0.004654,               0.004654
                     29,                 1.3422,                 1.9732,                0.88992,                 1.0825,                0.82343,                 0.8155,                0.86422,                 0.5604,                0.82353,                 0.8173,                0.87394,                0.54842,                 1.2041,                 1.5272,                0.77199,                0.93335,               0.004456,               0.004456,               0.004456
                     30,                 1.3453,                 1.9744,                0.88895,                 1.0822,                0.82333,                  0.815,                0.86425,                0.56083,                0.82346,                0.81711,                0.87351,                0.54844,                 1.2037,                 1.5264,                0.77142,                0.93306,               0.004258,               0.004258,               0.004258
                     31,                 1.3421,                 1.9708,                0.88551,                 1.0802,                0.82353,                0.81584,                0.86436,                0.56072,                0.82329,                0.81773,                0.87386,                0.54896,                 1.2032,                 1.5259,                 0.7708,                0.93289,                0.00406,                0.00406,                0.00406
                     32,                 1.3386,                 1.9648,                0.88263,                  1.079,                0.82354,                0.81759,                0.86483,                0.56063,                0.82397,                0.82007,                0.87415,                0.54905,                 1.2029,                 1.5252,                 0.7703,                0.93258,               0.003862,               0.003862,               0.003862
                     33,                 1.3382,                 1.9662,                0.88147,                  1.077,                0.82456,                0.81784,                0.86472,                0.56072,                0.82504,                0.81837,                0.87418,                0.54901,                 1.2023,                 1.5246,                0.77004,                0.93217,               0.003664,               0.003664,               0.003664
                     34,                 1.3344,                 1.9604,                0.87839,                 1.0758,                0.82547,                0.81723,                0.86463,                0.56075,                0.82606,                0.81779,                0.87449,                0.54981,                 1.2018,                 1.5239,                 0.7696,                0.93183,               0.003466,               0.003466,               0.003466
                     35,                 1.3328,                 1.9545,                 0.8767,                 1.0749,                0.82696,                 0.8178,                0.86492,                0.56091,                0.82761,                0.81842,                0.87437,                0.54959,                 1.2014,                 1.5232,                0.76893,                0.93151,               0.003268,               0.003268,               0.003268
                     36,                 1.3301,                 1.9496,                0.87554,                 1.0747,                 0.8303,                0.81655,                0.86558,                0.56142,                0.83348,                0.81486,                0.87428,                0.55027,                 1.2011,                 1.5228,                0.76832,                0.93128,                0.00307,                0.00307,                0.00307
                     37,                 1.3261,                 1.9505,                0.87291,                 1.0722,                0.83122,                0.81743,                0.86587,                0.56201,                0.83127,                0.81746,                0.87438,                0.55042,                 1.2006,                 1.5224,                 0.7678,                0.93095,               0.002872,               0.002872,               0.002872
                     38,                 1.3279,                   1.95,                0.87321,                 1.0725,                0.83114,                 0.8173,                0.86543,                0.56244,                 0.8328,                0.81716,                0.87468,                0.55071,                 1.2001,                  1.522,                0.76737,                 0.9307,               0.002674,               0.002674,               0.002674
                     39,                 1.3247,                 1.9449,                0.86956,                 1.0706,                0.83348,                0.81327,                0.86532,                0.56263,                0.83575,                0.81353,                0.87525,                0.55102,                 1.1998,                 1.5215,                0.76684,                0.93046,               0.002476,               0.002476,               0.002476
                     40,                 1.3202,                 1.9372,                0.86757,                 1.0696,                0.83141,                0.81496,                0.86549,                0.56289,                0.83461,                0.81266,                0.87551,                0.55137,                 1.1993,                 1.5213,                0.76641,                0.93013,               0.002278,               0.002278,               0.002278
                     41,                 1.3864,                 2.0117,                0.92402,                 1.1067,                0.83203,                0.81664,                0.86599,                0.56313,                0.83497,                0.81332,                0.87492,                0.55149,                 1.1981,                 1.5166,                0.76738,                0.92892,                0.00208,                0.00208,                0.00208
                     42,                 1.3706,                 1.9807,                0.90783,                  1.099,                0.82883,                0.81104,                0.86544,                0.56305,                0.83439,                0.80769,                0.87387,                0.55203,                  1.198,                 1.5134,                0.76961,                0.92839,               0.001882,               0.001882,               0.001882
                     43,                 1.3663,                 1.9727,                0.89998,                  1.096,                0.83128,                0.80882,                0.86538,                0.56296,                0.83391,                0.80668,                0.87281,                0.55334,                 1.1984,                 1.5118,                 0.7718,                0.92822,               0.001684,               0.001684,               0.001684
                     44,                 1.3607,                 1.9664,                0.89736,                 1.0933,                0.82809,                0.81485,                0.86413,                0.56126,                0.82763,                0.81386,                  0.871,                0.55269,                 1.1995,                 1.5114,                0.77451,                0.92835,               0.001486,               0.001486,               0.001486
                     45,                 1.3578,                 1.9589,                 0.8914,                 1.0919,                0.82673,                0.81558,                0.86357,                0.55931,                0.82712,                0.81348,                0.87106,                0.55259,                 1.2009,                 1.5121,                0.77724,                0.92868,               0.001288,               0.001288,               0.001288
                     46,                 1.3526,                 1.9503,                0.88742,                 1.0895,                0.83021,                0.81219,                0.86329,                0.55756,                0.82999,                0.81172,                 0.8695,                0.55127,                 1.2026,                  1.513,                0.77943,                0.92916,                0.00109,                0.00109,                0.00109
                     47,                 1.3502,                  1.948,                0.88432,                 1.0876,                0.83083,                0.80867,                0.86069,                0.55482,                 0.8296,                0.81159,                0.86852,                0.54886,                 1.2044,                 1.5148,                0.78168,                0.92969,               0.000892,               0.000892,               0.000892
                     48,                 1.3464,                 1.9389,                0.88139,                 1.0861,                0.83557,                0.80591,                0.85947,                0.55288,                0.83338,                0.80633,                0.86708,                0.54701,                 1.2063,                 1.5171,                0.78361,                0.93034,               0.000694,               0.000694,               0.000694
                     49,                 1.3449,                 1.9368,                0.87811,                 1.0854,                0.83012,                0.80742,                  0.858,                0.55168,                0.82871,                0.81031,                0.86679,                0.54663,                 1.2082,                 1.5197,                0.78525,                0.93087,               0.000496,               0.000496,               0.000496
                     50,                 1.3393,                 1.9298,                0.87385,                 1.0819,                0.82911,                 0.8057,                 0.8571,                0.54958,                0.82648,                0.80847,                 0.8653,                0.54567,                 1.2103,                 1.5224,                0.78748,                0.93141,               0.000298,               0.000298,               0.000298
