                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.92963,                 1.2673,                0.53472,                0.94163,                0.88969,                0.90106,                0.93727,                0.70672,                0.88591,                0.88674,                0.93278,                0.65716,                0.92369,                 1.0851,                0.50999,                0.83852,               0.005248,               0.005248,               0.005248
                     26,                0.92465,                  1.257,                 0.5308,                0.93983,                0.88859,                0.90266,                0.93737,                0.70768,                0.88657,                0.88645,                0.93284,                0.65676,                0.92268,                  1.084,                0.50888,                0.83815,                0.00505,                0.00505,                0.00505
                     27,                0.92337,                 1.2575,                0.52855,                0.93772,                 0.8878,                0.90251,                0.93734,                0.70817,                0.88638,                0.88709,                 0.9337,                0.65781,                0.92146,                 1.0827,                 0.5075,                0.83771,               0.004852,               0.004852,               0.004852
                     28,                0.91863,                 1.2496,                0.52695,                0.93653,                0.88966,                0.90135,                0.93744,                0.70858,                 0.8864,                 0.8866,                0.93381,                0.65823,                 0.9207,                 1.0815,                0.50685,                 0.8374,               0.004654,               0.004654,               0.004654
                     29,                0.91838,                 1.2471,                0.52482,                0.93411,                 0.8896,                0.90205,                0.93758,                0.70814,                0.88638,                0.88639,                0.93398,                0.65792,                0.91973,                 1.0802,                  0.506,                0.83698,               0.004456,               0.004456,               0.004456
                     30,                0.91135,                 1.2386,                0.52038,                0.93444,                0.88853,                0.90349,                0.93777,                0.70832,                 0.8839,                0.88829,                0.93421,                0.65824,                0.91887,                 1.0788,                0.50505,                0.83664,               0.004258,               0.004258,               0.004258
                     31,                0.90701,                 1.2295,                0.51704,                0.93277,                0.88768,                0.90396,                0.93792,                0.70848,                0.88331,                0.88908,                0.93437,                0.65856,                0.91799,                 1.0773,                0.50422,                0.83635,                0.00406,                0.00406,                0.00406
                     32,                0.90425,                 1.2256,                0.51327,                0.93089,                0.88847,                0.90387,                 0.9382,                0.70933,                0.88395,                0.88885,                0.93449,                0.65858,                 0.9169,                 1.0763,                0.50287,                0.83598,               0.003862,               0.003862,               0.003862
                     33,                0.90122,                 1.2178,                0.51143,                 0.9288,                0.88867,                 0.9032,                0.93829,                0.71005,                0.88305,                0.89007,                0.93479,                0.65964,                0.91597,                 1.0748,                0.50179,                 0.8356,               0.003664,               0.003664,               0.003664
                     34,                0.89731,                 1.2135,                0.50771,                0.92607,                0.88909,                0.90281,                0.93858,                0.71106,                0.88338,                0.88998,                0.93505,                0.65967,                0.91519,                 1.0733,                0.50088,                0.83532,               0.003466,               0.003466,               0.003466
                     35,                0.89147,                 1.2046,                0.50378,                0.92552,                0.88954,                0.90327,                 0.9388,                0.71177,                0.88282,                0.89039,                0.93519,                0.65963,                0.91434,                 1.0719,                0.49974,                0.83502,               0.003268,               0.003268,               0.003268
                     36,                0.88969,                 1.2004,                0.50062,                0.92398,                0.89048,                0.90301,                0.93903,                0.71252,                0.88582,                0.88867,                0.93547,                0.66114,                0.91338,                 1.0705,                0.49838,                0.83471,                0.00307,                0.00307,                0.00307
                     37,                0.88406,                 1.1925,                0.49738,                0.92309,                0.89174,                0.90257,                 0.9393,                0.71312,                0.88652,                0.88808,                 0.9359,                  0.662,                0.91272,                 1.0694,                 0.4974,                0.83446,               0.002872,               0.002872,               0.002872
                     38,                0.88142,                 1.1894,                0.49404,                0.92178,                0.89227,                0.90189,                0.93932,                0.71353,                0.88792,                0.88802,                0.93606,                 0.6624,                0.91174,                  1.068,                0.49595,                0.83414,               0.002674,               0.002674,               0.002674
                     39,                0.87621,                 1.1795,                0.49035,                0.91983,                0.89465,                0.89994,                0.93951,                0.71442,                0.89039,                0.88683,                0.93636,                0.66283,                0.91068,                 1.0668,                0.49443,                0.83374,               0.002476,               0.002476,               0.002476
                     40,                0.87048,                 1.1697,                0.48534,                0.91757,                0.89488,                0.90042,                0.93983,                0.71491,                0.88985,                0.88749,                0.93678,                0.66296,                0.90948,                 1.0656,                0.49281,                0.83339,               0.002278,               0.002278,               0.002278
                     41,                0.87855,                 1.1517,                0.48167,                0.91366,                0.89352,                0.90288,                0.94024,                 0.7161,                0.89104,                0.88743,                0.93683,                0.66423,                0.90792,                  1.062,                0.49108,                0.83305,                0.00208,                0.00208,                0.00208
                     42,                0.87447,                 1.1405,                0.47774,                 0.9132,                0.89559,                0.90154,                0.94056,                0.71724,                0.88896,                0.88957,                 0.9368,                0.66573,                0.90588,                 1.0585,                0.48906,                 0.8326,               0.001882,               0.001882,               0.001882
                     43,                0.86902,                 1.1303,                0.47323,                0.91375,                0.89804,                0.90038,                0.94113,                0.71854,                0.89074,                0.88845,                0.93713,                0.66583,                 0.9038,                 1.0553,                 0.4875,                0.83222,               0.001684,               0.001684,               0.001684
                     44,                0.86415,                 1.1252,                 0.4674,                 0.9094,                0.89935,                0.89935,                0.94147,                0.71949,                0.89143,                0.88756,                0.93746,                0.66576,                 0.9019,                  1.052,                0.48581,                0.83181,               0.001486,               0.001486,               0.001486
                     45,                0.85715,                 1.1152,                0.46265,                0.90601,                0.90086,                 0.8984,                0.94172,                0.72049,                0.89254,                0.88709,                0.93762,                0.66664,                0.90036,                 1.0487,                0.48429,                0.83142,               0.001288,               0.001288,               0.001288
                     46,                  0.851,                  1.105,                0.45819,                0.90419,                0.90098,                0.89913,                0.94252,                0.72166,                0.89282,                0.88766,                0.93791,                0.66664,                0.89863,                 1.0456,                0.48295,                0.83103,                0.00109,                0.00109,                0.00109
                     47,                0.84484,                 1.0981,                0.45263,                0.90251,                0.90102,                0.89931,                 0.9427,                0.72285,                0.89372,                0.88723,                 0.9383,                0.66677,                0.89706,                 1.0432,                0.48171,                 0.8306,               0.000892,               0.000892,               0.000892
                     48,                0.84026,                 1.0896,                0.44744,                0.90058,                0.90205,                0.89821,                0.94306,                0.72341,                0.89373,                0.88677,                0.93878,                0.66703,                0.89556,                 1.0414,                0.48023,                0.83022,               0.000694,               0.000694,               0.000694
                     49,                0.83425,                 1.0844,                0.44188,                0.89817,                0.90219,                0.89917,                0.94359,                0.72418,                0.89437,                 0.8873,                0.93892,                0.66783,                0.89412,                 1.0394,                0.47885,                0.82978,               0.000496,               0.000496,               0.000496
                     50,                0.83019,                 1.0775,                0.43845,                0.89755,                0.90308,                0.89926,                0.94384,                0.72516,                0.89468,                0.88803,                0.93911,                0.66863,                0.89274,                 1.0378,                0.47776,                0.82948,               0.000298,               0.000298,               0.000298
